country,eventName,estimated_interest
Österreich,zoo,2.0507725180105942
Österreich,bike,2.0133167785069137
Österreich,restaurant,1.936631341300955
Österreich,parking,1.8782714874959066
Österreich,trip,1.7674174336144768
Peru,hike,6.218900675992964
Peru,horse riding,6.042581099969952
Peru,bike,5.934188009778674
Peru,sehenswuerdigkeiten,5.854821210333764
Peru,shopping,5.764611385279638
Belgien,hike,7.745976634207255
Belgien,activity,6.634762060714996
Belgien,hotel,6.536138122361995
Belgien,hospital,6.227149414312834
Belgien,shopping,6.132061441781541
Deutschland,familie,6.197862932207902
Deutschland,trip,6.159284169238947
Deutschland,baden,6.099397046379513
Deutschland,sehenswuerdigkeiten,5.745797613558171
Deutschland,hospital,5.624257300261587
Frankreich,familie,7.989806642978664
Frankreich,sehenswuerdigkeiten,7.758479522484225
Frankreich,restaurant,6.951456647536753
Frankreich,activity,6.234438958810746
Frankreich,adventmarkt,6.2200553250440205
Dänemark,bike,8.036942449712884
Dänemark,hotel,6.673666643660521
Dänemark,hike,6.158552266407575
Dänemark,zoo,6.095622984589365
Dänemark,shopping,5.741621957662869
Vereinigtes Königreich,hike,7.448264460317211
Vereinigtes Königreich,sehenswuerdigkeiten,7.305401270191502
Vereinigtes Königreich,hospital,7.137997680765514
Vereinigtes Königreich,restaurant,6.903973289285563
Vereinigtes Königreich,adventmarkt,6.7260827565224695
Tschechien,hospital,6.992661146114652
Tschechien,hike,6.81022553655929
Tschechien,parking,6.759674608509881
Tschechien,swimming,6.609756975722872
Tschechien,activity,6.593073964895621
Luxemburg,bike,10.0
Luxemburg,zoo,7.197256159023786
Luxemburg,hotel,6.425633404126531
Luxemburg,restaurant,6.3175992468498166
Luxemburg,museum,6.261410247470351
Albanien,hospital,6.735302382781963
Albanien,horse riding,6.093728666237287
Albanien,familie,6.04503649454896
Albanien,baden,6.0266488746790845
Albanien,shopping,5.959706644572127
Türkei,baden,7.0402934149415985
Türkei,sehenswuerdigkeiten,6.767130647545392
Türkei,hospital,6.609149198193524
Türkei,bike,6.522389497196321
Türkei,familie,6.375096276615646
Vereinigte Arabische Emirate,parking,7.257790185467724
Vereinigte Arabische Emirate,sehenswuerdigkeiten,6.905647791001503
Vereinigte Arabische Emirate,shopping,6.8358200447778845
Vereinigte Arabische Emirate,restaurant,6.819681524272529
Vereinigte Arabische Emirate,hike,6.66810222349838
Bosnien und Herzegowina,trip,7.652814357659146
Bosnien und Herzegowina,hospital,7.2771274788052205
Bosnien und Herzegowina,adventmarkt,6.803400625194877
Bosnien und Herzegowina,hike,6.793951318616308
Bosnien und Herzegowina,bike,6.552740567623612
Nigeria,bike,7.986860103764193
Nigeria,hotel,7.497185973676887
Nigeria,shopping,7.427539385507747
Nigeria,hike,7.258147939947792
Nigeria,horse riding,6.890939996982663
Ungarn,trip,7.72965021508053
Ungarn,hike,6.32043526021558
Ungarn,hotel,5.99022783451286
Ungarn,adventmarkt,5.975747698414066
Ungarn,activity,5.901073883655498
