eventName (actionDetails 1),visitorType,visitCount,continent,country
activity,new,1,Europa,austria
activity,new,1,Europa,austria
activity,new,1,Europa,austria
activity,new,1,Europa,austria
activity,new,1,Europa,austria
activity,new,1,Europa,austria
activity,new,1,Europa,austria
activity,new,1,Europa,france
activity,new,1,Südamerika,peru
activity,new,1,Europa,belgium
activity,new,1,Europa,austria
activity,new,1,Europa,austria
activity,returning,2,Europa,austria
activity,returning,2,Europa,austria
activity,new,1,Europa,austria
activity,new,1,Europa,germany
activity,new,1,Europa,austria
activity,new,1,Europa,germany
activity,new,1,Europa,austria
attractions,new,1,Europa,austria
attractions,new,1,Europa,austria
attractions,new,1,Europa,austria
attractions,returning,2,Europa,austria
attractions,returning,2,Europa,austria
attractions,new,1,Europa,austria
attractions,new,1,Europa,austria
attractions,new,1,Europa,germany
attractions,new,1,Europa,austria
attractions,new,1,Europa,austria
bike,new,1,Europa,austria
bike,new,1,Europa,austria
bike,new,1,Europa,czech republic
bike,new,1,Europa,belgium
bike,returning,77,Europa,luxembourg
bike,returning,2,Europa,austria
bike,returning,2,Europa,austria
bike,new,1,Europa,belgium
bike,new,1,Europa,austria
bike,new,1,Europa,austria
christmas market,new,1,Europa,austria
christmas market,new,1,Europa,austria
christmas market,new,1,Europa,austria
christmas market,returning,2,Europa,austria
christmas market,new,1,Europa,austria
christmas market,new,1,Europa,austria
christmas market,new,1,Europa,austria
christmas market,returning,2,Europa,austria
christmas market,new,1,Europa,austria
christmas market,new,1,Europa,austria
christmas market,new,1,Europa,austria
christmas market,new,1,Europa,germany
christmas market,returning,2,Europa,austria
christmas market,new,1,Europa,austria
christmas market,new,1,Europa,austria
christmas market,new,1,Europa,austria
christmas market,returning,3,Europa,austria
christmas market,returning,2,Europa,austria
christmas market,new,1,Europa,austria
christmas market,new,1,Europa,denmark
christmas market,new,1,Europa,austria
christmas market,new,1,Europa,austria
christmas market,new,1,Europa,austria
christmas market,returning,2,Europa,austria
christmas market,new,1,Europa,austria
christmas market,new,1,Europa,austria
christmas market,new,1,Europa,austria
christmas market,new,1,Europa,austria
christmas market,new,1,Europa,austria
christmas market,returning,5,Europa,austria
christmas market,new,1,Europa,austria
christmas market,new,1,Europa,united kingdom
christmas market,new,1,Europa,austria
christmas market,new,1,Europa,austria
christmas market,new,1,Europa,austria
christmas market,new,1,Europa,austria
christmas market,new,1,Europa,austria
christmas market,new,1,Europa,germany
christmas market,new,1,Europa,austria
christmas market,new,1,Europa,austria
christmas market,new,1,Europa,austria
christmas market,returning,2,Europa,austria
christmas market,new,1,Europa,germany
christmas market,new,1,Europa,austria
family,new,1,Europa,austria
family,new,1,Europa,austria
family,new,1,Europa,austria
family,new,1,Europa,austria
family,new,1,Europa,austria
family,returning,4,Europa,austria
family,new,1,Europa,austria
family,new,1,Europa,austria
family,new,1,Europa,austria
family,new,1,Europa,austria
family,new,1,Europa,austria
hike,returning,2,Europa,austria
hike,new,1,Europa,germany
hike,new,1,Europa,austria
hike,new,1,Europa,austria
hike,new,1,Europa,germany
hike,new,1,Europa,austria
hike,new,1,Europa,austria
hike,returning,5,Europa,austria
hike,new,1,Europa,austria
hike,returning,2,Europa,austria
hike,returning,3,Europa,austria
hike,new,1,Europa,austria
hike,new,1,Europa,austria
hike,new,1,Europa,austria
hike,new,1,Europa,austria
hike,new,1,Europa,austria
hike,new,1,Europa,austria
hike,new,1,Europa,austria
hike,new,1,Europa,austria
hike,new,1,Europa,austria
hike,new,1,Europa,austria
hike,new,1,Europa,germany
hike,returning,2,Europa,austria
hike,new,1,Europa,austria
hike,returning,2,Europa,austria
hike,new,1,Europa,austria
hike,returning,57,Europa,austria
hike,new,1,Europa,austria
hike,returning,2,Europa,austria
hike,new,1,Europa,austria
hike,new,1,Europa,austria
hike,new,1,Europa,germany
hike,returning,4,Europa,austria
hike,returning,2,Europa,austria
hike,returning,4,Europa,austria
hike,new,1,Europa,germany
hike,new,1,Europa,austria
horse riding,returning,2,Europa,austria
horse riding,returning,2,Europa,austria
horse riding,new,1,Europa,austria
hospital,new,1,Europa,austria
hospital,new,1,Europa,austria
hospital,new,1,Europa,austria
hospital,new,1,Europa,austria
hospital,new,1,Europa,austria
hospital,new,1,Europa,austria
hospital,new,1,Europa,austria
hotel,new,1,Europa,austria
hotel,new,1,Europa,austria
hotel,new,1,Europa,germany
hotel,returning,2,Europa,austria
hotel,new,1,Europa,austria
hotel,new,1,Europa,austria
hotel,returning,4,Europa,albania
hotel,new,1,Europa,austria
hotel,returning,7,Europa,austria
hotel,new,1,Europa,austria
hotel,new,1,Europa,austria
hotel,new,1,Europa,germany
hotel,returning,2,Europa,austria
museum,new,1,Europa,austria
museum,new,1,Europa,austria
museum,new,1,Europa,germany
museum,new,1,Europa,austria
museum,new,1,Europa,germany
museum,new,1,Europa,austria
museum,new,1,Europa,austria
museum,new,1,Europa,germany
museum,new,1,Europa,austria
museum,returning,2,Asien,united arab emirates
museum,new,1,Europa,austria
museum,new,1,Europa,austria
museum,new,1,Europa,austria
museum,new,1,Europa,austria
museum,new,1,Europa,austria
museum,new,1,Europa,austria
museum,new,1,Europa,Türkei
museum,returning,2,Europa,albania
museum,returning,6,Europa,austria
museum,new,1,Europa,austria
museum,new,1,Europa,bosnia
parking,new,1,Europa,austria
parking,returning,2,Europa,austria
parking,new,1,Europa,france
restaurant,new,1,Afrika,nigeria
restaurant,returning,2,Europa,austria
restaurant,new,1,Europa,austria
restaurant,new,1,Europa,austria
restaurant,new,1,Europa,austria
restaurant,new,1,Europa,austria
restaurant,new,1,Europa,austria
restaurant,returning,2,Europa,austria
restaurant,new,1,Europa,germany
restaurant,new,1,Europa,austria
restaurant,returning,3,Europa,austria
restaurant,new,1,Europa,austria
restaurant,new,1,Europa,germany
restaurant,returning,2,Europa,austria
restaurant,new,1,Europa,austria
restaurant,new,1,Europa,austria
restaurant,new,1,Europa,austria
restaurant,new,1,Europa,germany
restaurant,new,1,Europa,austria
restaurant,new,1,Europa,austria
restaurant,new,1,Europa,austria
restaurant,new,1,Europa,austria
restaurant,new,1,Europa,austria
restaurant,new,1,Europa,germany
restaurant,new,1,Europa,albania
restaurant,returning,20,Europa,austria
restaurant,new,1,Europa,austria
restaurant,new,1,Europa,austria
restaurant,new,1,Europa,austria
restaurant,new,1,Europa,austria
restaurant,returning,2,Europa,austria
restaurant,new,1,Europa,austria
restaurant,returning,2,Europa,albania
restaurant,new,1,Europa,austria
restaurant,new,1,Europa,hungary
restaurant,new,1,Europa,austria
restaurant,returning,2,Europa,austria
restaurant,returning,7,Europa,austria
restaurant,new,1,Europa,austria
restaurant,new,1,Europa,austria
restaurant,new,1,Europa,austria
restaurant,new,1,Europa,germany
restaurant,new,1,Europa,austria
restaurant,new,1,Europa,austria
restaurant,returning,2,Europa,austria
restaurant,returning,2,Europa,austria
restaurant,new,1,Europa,austria
restaurant,new,1,Europa,germany
shopping,new,1,Europa,germany
shopping,new,1,Europa,austria
shopping,new,1,Europa,austria
shopping,new,1,Europa,austria
shopping,new,1,Europa,austria
shopping,new,1,Europa,austria
shopping,new,1,Europa,austria
shopping,new,1,Europa,austria
shopping,returning,2,Europa,austria
shopping,new,1,Europa,austria
swimming,new,1,Europa,austria
swimming,new,1,Europa,austria
swimming,returning,2,Europa,austria
swimming,new,1,Europa,austria
swimming,new,1,Europa,austria
swimming,new,1,Europa,austria
trip,new,1,Europa,austria
trip,new,1,Europa,austria
trip,new,1,Europa,austria
wellness,new,1,Europa,austria
zoo,new,1,Europa,germany
